excelRow,qid,code,outlinePath,subject,subtopic,confidence,source,reason,questionSnippet,explanationSnippet
"51","20195","55020201","Formation > Consideration > Bargain and exchange","Contracts","Formation of Contracts","high","row_text_rule","bargain and exchange consideration","The defendant and the victim are adults. During an argument, the defendant slammed a glass door against the victim, causing the victim to sustain serious cuts on her hand. After the victim received medical treatment for her injuries, she sp","The defendant's mother's promise to pay $1,000 is enforceable only if it is supported by consideration. Consideration is something of value — either benefit to the promisor or detriment to the promisee — given in exchange for the promise. A promise to do something that the promisor has no legal right to do cannot be regarded as consideration because it has no value. Unless a privilege exists, no person has the right to refuse to testify in a criminal prosecution. Certainly, n"
"52","19364","94050100","Venue > Venue","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: improper venue waived under Rule 12/Section 1406","An astronaut, who is a resident of the Western District of State A, sued an engineer, who was a resident of the Eastern District of State B, and a videogame designer, who was a resident of the Southern District of State C, in federal distri","The defense of improper venue is waived if it is not made either as a pre-answer motion under Fed. R. Civ. P. 12 or as part of the defendant's answer. When the defendants' submitted their answers without the defense, they waived it. Once that happened, “nothing . . . shall impair the jurisdiction of a district court of any matter involving a party who does not interpose timely and sufficient objection to the venue.” See 28 U.S.C. §1406(b). Consequently, the court in the Weste"
"53","18402","44040300","Individual Rights > Equal Protection Clause","Constitutional Law","Individual Rights","high","row_text_rule","equal protection","A state law requires a permit for the use of certain recreational facilities in state parks and fixes the annual fee for such permits at $25 for residents and $200 for non-residents. If a non-resident of the state challenges the law as unco","The Equal Protection Clause prohibits states from invidiously discriminating. Since the statute requires higher fees from non-residents, it discriminates against them. Although some such discrimination has been held to be valid, it is possible that this statute is not. A therefore could be an effective argument in support of the constitutional challenge, making A incorrect. The Privileges and Immunities Clause of Article IV of the United States Constitution provides that “The"
"54","21827","33040101","Hearsay > In General > Hearsay rule","Evidence","Hearsay and Circumstances of Its Admissibility","high","row_text_rule","hearsay rule","The plaintiff, who was four years of age, was the plaintiff in a battery action against the defendant, who was seven years of age. At trial, the plaintiff's attorney called the plaintiff to testify on the plaintiff's direct case. After inte","The fact that a declarant is presently unavailable is never in itself sufficient to permit the admission of his or her out-of-court statements. B is incorrect for this reason, and because the excited utterance exception does not require that the declarant be unavailable. C is incorrect, because although the plaintiff's statement is hearsay, it is admissible under the excited utterance exception to the hearsay rule. The court found that the plaintiff was incompetent to testify"
"55","21206","31010502","Presentation of Evidence > Impeachment > Prior inconsistent statement","Evidence","Presentation of Evidence","high","row_text_rule","prior inconsistent statement","The plaintiff asserted a personal injury claim against the defendant for injuries that she sustained when their cars collided at an intersection. At the trial, the witness, an eyewitness to the accident, testified that when it occurred, the","The fact that a witness has made prior statements that are inconsistent with her testimony suggests that her testimony is not worthy of belief. For this reason, such statements are admissible for purposes of impeachment. In general, substantive evidence is admissible if it tends to establish a fact in issue. Since the color of the traffic light is material to the determination of the plaintiff's rights against the defendant (i.e., is a fact in issue), the deposition in which "
"56","18417","75080100","Fifth and Sixth Amendments—Statements, Confessions, and Identifications > Statements and Confessions","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","high","row_text_rule","Miranda/confessions","Following her indictment by a grand jury for bank robbery, the defendant voluntarily surrendered at police headquarters. After booking her, police officers advised the defendant that she had a right to remain silent, that anything she said ","The Fifth Amendment right against self-incrimination protects a defendant against being coerced into answering questions asked by the police. Because police interrogation of a person in custody is inherently coercive, a person in custody is entitled to Miranda warnings like those given the defendant when she was first taken into custody. If, after receiving such warnings, the person in custody asserts his or her right to have an attorney present during questioning, all interr"
"57","21112","75080101","Fifth and Sixth Amendments—Statements, Confessions, and Identifications > Statements and Confessions > Voluntary statements","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","manual","manual_override","manual review: Fifth Amendment self-incrimination, testimonial vs physical identification","At the trial of a robbery prosecution, a witness for the prosecution testified that the robber walked with a limp. While the witness was on the stand, the prosecutor asked the defendant to walk across the courtroom. If the defendant objects","The Fifth Amendment to the United States Constitution provides in part that “No person . . . shall be compelled in any criminal case to be a witness against himself.” The privilege only prohibits the government from requiring a testimonial communication, however. It does not protect a person against being required to participate in identification procedures that might lead to his or her conviction. For this reason, the Fifth Amendment privilege does not protect the defendant "
"58","19814","75080404","Fifth and Sixth Amendments—Statements, Confessions, and Identifications > Double Jeopardy > Retrial after Attachment","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","manual","manual_override","manual review: double jeopardy retrial after reversal for insufficient evidence","At a jury trial, the defendant was convicted of aggravated assault. On appeal, the defendant's conviction was reversed on the ground that, as a matter of law, the evidence against her was insufficient to establish guilt beyond a reasonable ","The Fifth Amendment to the United States Constitution provides that no person shall for the same offense be placed twice in jeopardy of life or limb. In general, this prevents a person from being tried twice for the same crime. Since the defendant has already been tried, the subsequent prosecution violates this constitutional protection. D is correct for this reason, and because none of the reasons listed in the other options is sufficient to result in a denial of her motion."
"59","20765","33040302","Hearsay > Hearsay Exceptions > Not requiring unavailability of declarant","Evidence","Hearsay and Circumstances of Its Admissibility","manual","manual_override","manual review: ancient document/vital-record hearsay exceptions not requiring unavailability","After a man died without a will, the state treasurer instituted a proceeding for a declaration that the man's assets should escheat to the state, on the ground that there were no living persons eligible to inherit. A woman opposed the proce","The FRE permit the admission, as an “ancient document,” of a properly authenticated writing that is at least 20 years old. Common law usually requires 30 years. A is incorrect under both systems, however, because there is no fact indicating the age of the mother's notation in the Bible. In some jurisdictions, a law known as the “dead man's statute” prevents the admission of certain evidence regarding certain transactions with a person who is now deceased. Although the dead ma"
"60","20863","82010102","Nature and Ownership of Land > Present Possessory Interests in Land > Defeasible fees","Real Property","Ownership","manual","manual_override","manual review: fee simple determinable/defeasible fee","By a properly executed and recorded deed, the landowner conveyed a parcel of real estate with a building on it as follows: to the church for so long as the land is used by the church for church purposes; and when the land ceases to be so us","The grant of an interest in realty “for so long as” a certain condition continues to exist or “until” a certain condition shall exist is traditionally held to create a fee simple determinable. One of the characteristics of this particular interest is that it terminates automatically upon the happening of the specified event or condition. Since the conveyance to the church was “for so long as” the land is used for church purposes, it was a fee simple determinable, and it was t"
"61","21835","35030205","Privileges and Public Policy Exclusions > Particular Privileges > Attorney-client","Evidence","Privileges and Other Policy Exclusions","high","row_text_rule","attorney-client privilege","The plaintiff had an exclusive five-year contract to sell products manufactured by the defendant. When the defendant canceled the contract in its third year, the plaintiff entered into a similar contract with another manufacturer. The plain","The majority of jurisdictions recognize a client's privilege to prevent disclosure of a confidential communication that he or she made to his or her attorney while seeking legal advice even before retaining him or her. In addition, the privilege applies to confidences that the client communicates to an agent of the attorney in connection with the subject of the attorney-client relationship. Since the plaintiff's communication with the witness was at the attorney's request to "
"62","21863","84040403","Titles, Deeds, and Conveyancing > Recording Acts > Bona fide purchaser","Real Property","Titles","high","row_text_rule","bona fide purchaser","On February 1, the landowner conveyed a parcel of realty to his friend as a gift. The landowner executed the deed in the presence of a notary public, and the notary affixed his seal as required by law. On March 1, after the landowner learne","the neighbor's grant, the notary's interest is also superior to the friend's. As a result of this reasoning, it is correct to say that one who derives his or her interest from a bona fide purchaser for value (i.e., BFP) is protected by a recording statute even if he or she is not a BFP himself or herself. Thus, the notary's possible knowledge would not deprive him of the protection of the recording statute, and A is incorrect. B is incorrect because it fails to take into acco"
"63","17255","55020201","Formation > Consideration > Bargain and exchange","Contracts","Formation of Contracts","high","row_text_rule","bargain and exchange consideration","The seller owned a 10-acre parcel of realty. On March 6, the seller offered to sell the land to the buyer for $80,000. The buyer said that he might be interested but that he would not be in a position to make up his mind until July. The sel","The parol evidence rule prevents the use of extrinsic evidence of prior negotiations or agreements to modify the terms of an unambiguous written contract that the parties intended as a complete record of their agreement. Since the written statement that she had received $1 was not a term of agreement but merely a recital of fact, the parol evidence rule does not prevent the use of extrinsic evidence to contradict it. A is therefore incorrect. When a promisee justifiably relie"
"64","21793","52040300","Gap-Fillers, Interpretation, and the Parol Evidence Rule > Parol Evidence Rule","Contracts","Contract Content and Meaning","high","row_text_rule","parol evidence","The defendant operated a computer repair business, servicing the computers of several large organizations with the assistance of her daughter. When the defendant decided to retire, she sold the entire business to her daughter. As part of th","The parol evidence rule prohibits evidence of a prior or contemporaneous oral agreement to contradict or modify the terms of certain writings. Since the plaintiff's oral agreement to release the defendant was made after their written contract, the parol evidence rule does not apply to it. A is therefore incorrect. The original contract between the plaintiff and the defendant was for a three-year period (i.e., could not be performed within a year). For that reason, the Statute"
"65","20179","61020402","Negligence > Causation > Proximate (legal) cause","Torts","Negligence","high","row_text_rule","proximate causation","The defendant was out walking when she saw the plaintiff, a seven-year-old child, suddenly chase a ball into the street in the path of a car driven by a driver. Afraid that the plaintiff would be hit by the car, the defendant ran into the r","The plaintiff in a negligence action must establish that the defendant breached a duty of reasonable care and that the breach was a proximate cause of damage. In concept, a plaintiff has sustained damage as a result of a defendant's act if the plaintiff would have been better off without that act. If the plaintiff otherwise would have died, then the defendant's act saved the plaintiff's life at the expense of his injured knees. Since the plaintiff's life was more important (i"
"66","20020","63030100","Products Liability > Strict Products Liability","Torts","Strict Liability and Products Liability","high","row_text_rule","strict products liability","The plaintiff bought from the defendant, a car dealer, a new car manufactured by the manufacturer. The vehicle was equipped with a seat belt warning indicator, although the law did not require such a device. The indicator was designed to ca","The plaintiff's allegation that the vehicle was defective means that her claim is based on the theory of strict liability in tort. Assumption of the risk may be raised as an effective defense to such a claim. Since a plaintiff assumes the risk when he or she voluntarily encounters a danger of which he or she knows, the plaintiff may have assumed the risk by driving with the knowledge that the seat belt warning indicator light was not working. B is incorrect because a product "
"67","21428","54030600","Defenses to Formation or Enforcement > Mistake / Lack of Mutual Assent","Contracts","Defenses to Enforceability","high","row_text_rule","mistake","When the plaintiff applied for a job as a nurse at a hospital, the hospital's personnel department sent questionnaires to doctors on its staff, requesting information about the plaintiff. The defendant, a doctor on staff, knew the plaintiff","The publication of a false defamatory statement — unless privileged — ordinarily results in liability, even though the publisher heard the statement from another and so indicates when making the statement. B is therefore incorrect. The Supreme Court of the United States has held that a plaintiff who is a public person may prevail in a defamation action only by proving that the defendant had “actual malice.” C is incorrect, however, because the Court has stated that, in a defa"
"68","19040","82010301","Nature and Ownership of Land > Concurrent Estates > Joint tenancy","Real Property","Ownership","manual","manual_override","manual review: joint tenancy severance and survivorship","A will devised a parcel of real estate to a brother and his sister as joint tenants with full right of survivorship. The brother died after quitclaiming his interest in the realty to his wife. Subsequently, the sister died, leaving a will t","The right of survivorship is the best known characteristic of a joint tenancy. It means that if one of the joint tenants dies, the survivor becomes the owner of the deceased tenant's share. Thus, if the brother died while he and his sister were joint tenants, the sister would have become the sole owner of the realty. When a joint tenant conveys his or her interest, however, the joint tenancy is severed, and his or her grantee becomes a tenant in common with the remaining co-o"
"69","19243","62050401","Other Torts > Defamation, Privacy, and Reputation Torts > Defamation","Torts","Other Torts","high","row_text_rule","defamation","A riot broke out during a political rally in the town. Subsequently, a newspaper published an editorial about the rally and the ensuing disruption. The editorial stated that “Police present at the rally beat and kicked innocent bystanders a","the statement about the group is being made about the plaintiff. The issue here is what was said in the newspaper, not whether the police officers were engaged in their official duties or not. This makes B incorrect. A spoken defamation is called “slander per se” if it accuses the plaintiff of a crime of moral turpitude, of having a loathsome disease, of being an unchaste woman, or of being unfit for the plaintiff's occupation. In certain cases of slander per se, the plaintif"
"70","18679","42010107","Separation of Powers > Legislative Branch > Thirteenth, Fourteenth, and Fifteenth Amendments","Constitutional Law","Separation of Powers","manual","manual_override","manual review: Thirteenth Amendment congressional enforcement power","Which of the following constitutional provisions is most likely to give Congress the power to pass a law making it a federal crime for persons or corporations in the construction industry to practice racial discrimination in their hiring pr","The Thirteenth Amendment provides that, except as a punishment for crime, “Neither slavery nor involuntary servitude . . . shall exist within the United States,” and grants Congress the power to enforce that provision. The United States Supreme Court has held that the prohibition against slavery was directed at individuals as well as at government action. This, the Court stated, gives Congress the power to define badges of servitude and to eliminate them by enacting legislati"
"71","17122","62050401","Other Torts > Defamation, Privacy, and Reputation Torts > Defamation","Torts","Other Torts","manual","manual_override","manual review: defamation opinion/fact distinction","The defendant wrote a column about life in suburbia that appeared regularly in a newspaper of general circulation. In one of his columns, the defendant mentioned his neighbor, the plaintiff, by name, and referred to him as “a silly pig.” If","The United States Supreme Court has held that because defamation liability can be imposed only for a false statement, and because there is no such thing as a false opinion, defamation liability cannot be imposed for an assertion of opinion. The Supreme Court also ruled that a statement is an assertion of opinion if reasonable readers would recognize that it was an expression of the writer's feelings and would not believe that it was intended to assert a fact. Thus, if reasona"
"72","18687","75090400","Sixth Amendment—Other Rights of the Accused > Right to Counsel","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","manual","manual_override","manual review: Sixth Amendment right to counsel at post-indictment lineup","Following her indictment by a grand jury for bank robbery, the defendant voluntarily surrendered at police headquarters. The officers went to lunch and returned to headquarters an hour later. Upon their return, they ordered the defendant to","The United States Supreme Court has held that because manipulation of circumstances surrounding a lineup could create considerable likelihood of inaccuracy, and because it would be difficult at trial to fully develop evidence regarding such manipulation, the Sixth Amendment requires the presence of counsel at a post-indictment lineup. For this reason, the defendant's objection would probably be sustained for the reason given in A. The constitutional right to confront witnesse"
"73","18962","44040301","Individual Rights > Equal Protection Clause > Fundamental rights","Constitutional Law","Individual Rights","high","row_text_rule","fundamental rights","A state law empowers any municipality within the state to collect a property tax from its landowners if a plan to do so is proposed by its governing body and approved by a majority of its eligible voters. The township is a municipality gove","The United States Supreme Court has held that constitutional requirements of equality in the electoral process prohibit the use of property ownership as a qualification for voter eligibility in general elections. An exception to this rule has been recognized for special-purpose elections on matters that relate only to the interests of landowners. The election in question does not fit this exception, however, since municipal revenues and their source are of interest to all res"
"74","17158","62050401","Other Torts > Defamation, Privacy, and Reputation Torts > Defamation","Torts","Other Torts","high","row_text_rule","defamation","A local newspaper published an editorial claiming that the majority of firefighters at the local fire department were dangerously out of shape and had recently failed their physicals. Following publication, several firefighters sued the new","The United States Supreme Court has said that there is no such thing as a false idea. Since defamation liability cannot be imposed for publication of the truth, this statement by the Supreme Court prevents defamation liability from being imposed for the publication of an opinion. A is incorrect, however, because — even though it was contained in an editorial — the statement that the majority of firefighters were dangerously out of shape and had recently failed their physicals"
"75","18826","94020202","Personal Jurisdiction > Traditional Bases for Personal Jurisdiction > Service","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","service as traditional PJ basis","A married couple lived in State A. The wife moved to State B and filed for divorce in State B state court. The husband was visiting State B on business and to see his daughters when he was served with the divorce papers. In a special appear","The United States Supreme Court has upheld a state court's personal jurisdiction over a defendant when the defendant is personally served with process while he or she is within the state's borders. See Burnham v. Superior Court, 495 U.S. 604 (1990). This is true even if the defendant is only in the state for a short time. Therefore, C and D are incorrect. A is incorrect because the fact the action was filed in state court in State B would not automatically confer personal jur"
"76","17456","61020301","Negligence > Breach > Falling below the standard of care","Torts","Negligence","manual","manual_override","manual review: negligence breach from speeding; no intentional trespass/strict liability","The defendant was speeding in her car 15 miles per hour above the speed limit when the car's steering mechanism failed, causing her to lose control of the vehicle. The vehicle spun approximately 250 degrees before skidding across the plaint","There are only three potential bases of liability in a tort action — intent, negligence, and liability without fault (i.e., strict liability). It is clear from the facts that the defendant's entry onto the plaintiff's realty was not intentional. Operating an automobile is not one of the activities for which strict liability is imposed. The only possible basis of liability is therefore negligence. Thus, the defendant can be liable only if she was negligent. Here, she was negli"
"77","17338","56050601","Performance, Breach, and Excuse > Excuse of Condition/Discharge of Duty > Impossibility","Contracts","Performance, Breach, and Discharge","manual","manual_override","manual review: impossibility/illegality and foreseeability as excuse of duty","After executing a contract with the defendant, the plaintiff advertised that he would be showing the defendant's world-famous hog at the state fair. All his advertising emphasized that the hog, the American champion, would be exhibited at t","There are various theories that might exclude performance because of a change in circumstances, but all require that the change in circumstances be unforeseeable at the time the contract was formed. If the defendant knew on May 1 that many hogs in the area had contracted the disease, it was probably foreseeable to him that the hog would contract it also. If the hog's disease was foreseeable to the defendant, it would not excuse his performance under any theory. If performance"
"78","20606","94050100","Venue > Venue","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: venue proper districts in diversity action","A woman from the Southern District of State A was injured in a boating accident in the Eastern District of State B. The woman sued two other boaters involved in the accident in a federal action based on diversity. The first was a doctor fro","Therefore, A, B, and C are incorrect."
"79","17077","82010103","Nature and Ownership of Land > Present Possessory Interests in Land > Life estates","Real Property","Ownership","manual","manual_override","manual review: life estate and remainder after life tenant quitclaim","A landowner conveyed a parcel of land “to my son for life, remainder to my daughter.” Two years later, without the landowner's permission, the son quitclaimed all of his interest in the land to his wife. What is the state of the land's titl","Therefore, A, B, and D are incorrect."
"80","19872","95070402","Pretrial Procedures > Discovery > Devices","Civil Procedure","Pretrial Procedures","manual","manual_override","manual review: Rule 35 physical examination as discovery device","A woman sued a company in federal district court in State A. She claimed that she had been injured by one of the company's products and could no longer work. The company's attorney did not believe the woman was as injured as she claimed and","Therefore, A, B, and D are incorrect."
"81","19569","95070403","Pretrial Procedures > Discovery > Scope of discovery","Civil Procedure","Pretrial Procedures","manual","manual_override","manual review: expert research discovery/scope","After a man died in a plane crash, the man's family sued the airline in federal district court. The family's attorney hired an expert in airplane accidents to create a model of the man's accident. Based on his research, the expert planned t","Therefore, B, C, and D are incorrect."
"82","21254","94040200","Notice and Service of Process > Service of Process","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: service under forum long-arm rule","A girl's mother, a citizen of State A, brought suit in federal district court in State A against a saddle maker, a citizen of State B, after the girl fell during a riding lesson. The mother bought the saddle from the saddle maker online, an","Therefore, B, C, and D are incorrect."
"83","19754","85030102","Real Property Contracts > Land-Sale Contracts > Essential terms","Real Property","Contracts for Land","manual","manual_override","manual review: land-sale contract essential terms/price definiteness","The buyer and the seller signed a written document agreeing to the sale of the seller's realty to the buyer. The document adequately described the realty, required the seller to deliver marketable title by a general warranty deed, and set t","To be enforceable, a contract must be definite and certain in all its basic terms. One way of determining whether a purported agreement is sufficiently definite and certain is to ask whether its terms make it possible for a court to fashion a remedy for its breach. Most of the time, this requires that the agreement identify the parties and show that they have agreed to the subject matter, the time for performance, and the price. The writing between the buyer and the seller le"
"84","19021","95070402","Pretrial Procedures > Discovery > Devices","Civil Procedure","Pretrial Procedures","high","row_text_rule","discovery devices","A man sued a boxer in federal district court in the Western District of State A for injuries the man sustained during a bar fight. The boxer's attorney wanted to get a copy of the police report. The police department was located in the West","To get a copy of the police report, the boxer's attorney must cause the clerk of the court to issue a subpoena duces tecum (an order requiring the recipient to appear before the court and produce documents) on the police department under Fed. R. Civ. P. 45. A is incorrect because a request to produce documents may only be served on a party to the suit. See Fed. R. Civ. P. 34. C is incorrect because it is unnecessary to take the deposition of the police officer in order to get"
"85","19802","64010201","Intentional Torts > Intentional Torts to Property > Trespass to land","Torts","Intentional Torts","high","row_text_rule","trespass to land","The defendant purchased property in a popular resort area and constructed a restaurant on it. The defendant's restaurant was equipped with a walk-up window so that people who chose to do so could purchase food and soft drinks without enteri","Trespass to land requires an intentional unauthorized entry onto the plaintiff's realty by something tangible. Since there was no tangible entry onto the plaintiff's land, A is incorrect. Intentional infliction of emotional distress requires outrageous conduct by which the defendant intentionally inflicts severe mental suffering upon the plaintiff. B is incorrect because the plaintiff does not seek damages for mental suffering but for reduction in the value of his realty. Alt"
"86","20677","94030100","Removal and Remand > Removal to Federal Court","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","removal","A pipe company filed a complaint in state court in State A for breach of contract against a builder. The company did not serve the builder then, but emailed a “courtesy copy” of the complaint to one of the builder's vice presidents. The com","Under 28 U.S.C. §1446(b), a defendant must file notice of removal within 30 days after formal service of the complaint. Since the builder removed 29 days after formal service, the builder's removal was timely. See Murphy Brothers v. Michetti Pipe Stringing, Inc., 526 U.S. 344 (1999). B is incorrect because there is no special rule regarding notice by certified mail. C is incorrect because the 30-day period begins when the defendant receives official service. D is incorrect be"
"87","18591","94010300","Federal Subject-Matter Jurisdiction > Supplemental Jurisdiction","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: supplemental jurisdiction/common nucleus for joined claim","A stockbroker brought an action in federal district court in State A against a car salesman after the stockbroker was injured while taking a test drive in a new car he was thinking about buying. The stockbroker, a citizen of State A, sought","Under Fed. R. Civ. P. 18(a), joinder of the additional contract claim against the dealer would be proper. However, a claim joined under Fed. R. Civ. P. 18(a) cannot be brought into federal court based on supplemental jurisdiction unless the claims are part of the same case or controversy. Because the contract claim involves a different “common nucleus of operative fact” than the accident, it must independently meet the requirements for federal subject matter jurisdiction. Her"
"88","18055","95070303","Pretrial Procedures > Multiple Parties and Claims > Class actions","Civil Procedure","Pretrial Procedures","manual","manual_override","manual review: Rule 23 class action requirements","A man and a woman were residents of a local housing project in the center of the city. Because the housing project was thought of as a hotbed of crime and gang activity, the city wanted to tear down the project and relocate the project's 80","Under Fed. R. Civ. P. 23(a), the requirements for a class action are numerosity, common questions of law or fact, typicality of claim or defenses, and adequate representation. Here, there are 800 residents who are all being forcibly removed from their homes by the city, which is apparently doing so in an effort to combat crime. The best law firm in the city has taken the case, and the two named members are longtime residents and business owners. Consequently, it seems as if t"
"89","18310","95070403","Pretrial Procedures > Discovery > Scope of discovery","Civil Procedure","Pretrial Procedures","high","row_text_rule","scope/work product","After he was injured during surgery, a man sued a doctor in federal district court. The doctor's lawyer hired a private investigator, who interviewed several witnesses to the surgery, including the head nurse. The investigator filmed all of","Under Fed. R. Civ. P. 26(b)(3), a statement prepared by a party “in anticipation of litigation” is protected by work-product immunity. However, since the statement is simply the statement of the head nurse and does not appear to contain any mental conclusions or impressions by the investigator, it is probably only protected by qualified immunity. In that case, the man can get the statement if he shows he has “substantial need for the materials . . . and [he] cannot, without u"
"90","21349","94020000","Personal Jurisdiction","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: personal jurisdiction under Rule 4(k)(1)(B) bulge service","A waiter worked for a catering service owned by a chef. One night while the waiter was working a dinner party in State A, he dumped hot soup on a professor. The professor was a citizen of State B and the chef was a citizen of State A. The p","Under Fed. R. Civ. P. 4(k)(1)(B), “serving a summons or filing a waiver of service establishes personal jurisdiction over a defendant . . . who is a party joined under Rule 14 or 19 and is served within a judicial district of the United States and not more than 100 miles from where the summons was issued.” Here, the chef is impleading the waiter under Fed. R. Civ. P. 14(a)(1), since the waiter may be liable to the chef for all or part of the professor's claim. Consequently, s"
"91","19257","92080204","Motions > Trial and Post-Trial Motions > Motion for new trial","Civil Procedure","Motions","manual","manual_override","manual review: Rule 59 new trial for inadequate damages","A woman sued a company in federal district court in State A after she was injured by one of the company's products. After trial, the jury ruled in favor of the woman and awarded her damages. If the trial judge believed the compensatory dama","Under Fed. R. Civ. P. 59(d), a district court can order a new trial on its own for any reason that would justify granting one on a party's motion. Because inadequate damages could be the basis for a new trial, the trial judge can order a new trial. A and B are incorrect because additur, or offering a defendant a choice between a higher damage award or a new trial, had been found to be a violation of the Seventh Amendment (although this does not apply to state courts). D is in"
"92","17983","33040201","Hearsay > Hearsay Exemptions > Prior statement of witness","Evidence","Hearsay and Circumstances of Its Admissibility","manual","manual_override","manual review: prior consistent statement to rebut recent fabrication","At the defendant's trial on a charge of rape, the victim testified that on March 1, the defendant forced her to have sexual intercourse with him against her will. Testifying in his own defense, the defendant admitted that he had engaged in ","Under FRE 803(2), a statement is admissible as an excited utterance if it was made about a startling event while the declarant was under the stress of excitement caused by that event. Ordinarily, this requires the statement to have been made either during the event or immediately thereafter. Since a week passed between the alleged rape and the victim's statement to the neighbor, it probably does not qualify as an excited utterance. A is therefore incorrect. Hearsay is defined"
"93","21137","33040302","Hearsay > Hearsay Exceptions > Not requiring unavailability of declarant","Evidence","Hearsay and Circumstances of Its Admissibility","manual","manual_override","manual review: business record/absence of business record exception","The defendant was arrested and charged in a state court with the unlawful possession of a dangerous drug. As his defense, the defendant asserted that he was an undercover officer employed by the Special Division of the State Police Departme","Under FRE 803(6), a properly authenticated writing may be admitted under the business record exception to the hearsay rule if it was made in the regular course of business while fresh in the declarant's mind about facts that the declarant knew or learned from an inherently reliable source. Since the witness's testimony satisfied all these requirements, the personnel file should be admitted as a business record. (Note: Do not be confused about a controversy that exists over wh"
"94","21762","34050101","Contents of Writings, Recordings, and Photographs > Requirement of the Original > Best evidence rule","Evidence","Writings, Recordings, and Photographs","high","row_text_rule","best evidence/original writing rule","The defendant was arrested and charged in a state court with the unlawful possession of a dangerous drug. As his defense, the defendant asserted that he was an undercover officer in a special division of the state police department and that","Under FRE 803(8), the file itself may be admissible as an official written statement since it was made at or near the time of the matter recorded by a public official regarding matters in the declarant's personal knowledge in the course of the declarant's duties. (Note: The file may also be admissible as a business record.) Even if the personnel file's contents are admissible, however, the witness's testimony about its contents might not be. Under the common law and FRE 1002,"
"95","18098","81020602","Non-Possessory Rights and Interests in Land > Fixtures > Ownership","Real Property","Rights in Land","manual","manual_override","manual review: fixture ownership by accession","The tenant leased a parcel of real estate from the landlord for one year at a monthly rent of $2,000 with an option to buy it for a specified price at the termination of the lease. After moving onto the realty, the tenant erected a storage ","Under the doctrine of accession, the owner of realty becomes the owner of anything that becomes part of it as well. Thus, if the storage building has become part of the realty, the tenant may not remove it. Unless the parties agree, however, the decision as to whether the building has become part of (i.e., annexed to) the realty can be made only by a court. A is incorrect because the landlord does not have the power to decide it unilaterally. B is incorrect because if the bui"
"96","19929","56050601","Performance, Breach, and Excuse > Excuse of Condition/Discharge of Duty > Impossibility","Contracts","Performance, Breach, and Discharge","manual","manual_override","manual review: impossibility and foreseeable market-price burden","The plaintiff showed his silver coins to the defendant and asked whether the defendant would be interested in trading them for chickens. After inspecting the coins, the defendant and the plaintiff placed them in a bag that they sealed toget","Under the doctrine of impossibility of performance, a party may be excused from obligations under a contract if an unforeseeable change in circumstances has made performance vitally different than that which was contemplated by the parties at the time the contract was formed. On the other hand, if the change that occurred was foreseeable, the fact that it increases a party's burden of performance is not in itself sufficient to excuse that performance. Because contracts must r"
"97","18553","52040300","Gap-Fillers, Interpretation, and the Parol Evidence Rule > Parol Evidence Rule","Contracts","Contract Content and Meaning","manual","manual_override","manual review: parol evidence to clarify ambiguity","The state published an advertisement calling for bids “for a contract to be the exclusive supplier of fuel for state vehicles.” The plaintiff submitted a bid and, after negotiation, entered into a written contract to supply at a specified p","Under the parol evidence rule, extrinsic evidence of prior agreements or negotiations is not admissible to contradict or modify an unambiguous written contract that the parties intended as a complete expression of their agreement. The rule does not prevent the use of extrinsic evidence for other purposes, however. Virtually all jurisdictions permit its use to show that the written contract is ambiguous and to clear up the ambiguity. Since the phrase “all fuel ordered by the s"
"98","17146","54030600","Defenses to Formation or Enforcement > Mistake / Lack of Mutual Assent","Contracts","Defenses to Enforceability","high","row_text_rule","mistake","A breeder agreed to sell a farmer a cow, which both parties believed to be barren. The contract price was $200. Prior to delivery of the cow, the breeder realized the cow was pregnant and refused to deliver her because her value as a breedi","Under the Restatement approach, whether the breeder could rescind the contract would depend on whether the characteristic on which the parties were mistaken was a “basic assumption.” Here, the belief of the parties that the cow was barren, and the huge price difference between a barren and breeding cow, shows that the characteristic was a basic assumption of the contract. B is incorrect because that answer choice only mentions the price difference, and does not take into acco"
