excel_row,qid,outline_code,confidence,note,question_excerpt,explanation_excerpt
84,20782,55020204,reviewed,preexisting duty rule,"A group of workmen signed contracts at a fixed rate to work on a ship during the salmon-canning season, as the ship went from San Francisco to Alaska and back. When the ship arrive","Under the pre-existing duty rule, if someone does or promises to do something that he or she is already legally obligated to do, or if he or she forbears or promises to forbear from doing something he or she is not legally obligated to do, he or she has not incurred a sufficient detriment to count as consideration. Mos"
85,17954,55020101,high,Offer,"On August 1, a cell phone manufacturer posted a notice in the employee lounge offering $200 to any employee who could design a “killer app” by November 1, in time for the Christmas","Under the Restatement of Contracts, Second, an offer for a unilateral contract cannot effectively be withdrawn once the offeree has begun performance. Since the designer began working on the design prior to the manufacturer's attempt to withdraw its offer, the manufacturer's offer will be held to be irrevocable. A bila"
86,21847,54030400,high,Statute of Frauds,"On March 22, by a written memorandum signed by both parties, the seller agreed to sell and the buyer agreed to buy a described parcel of realty. The buyer and seller were both in t","Under the Statute of Frauds, a contract for the sale of any interest in real estate must be in writing, and the writing must contain all the essential terms. The price is an essential term in a contract for the sale of realty, since the court will be unable to fashion a remedy without it. Although UCC §2-305(1) makes s"
87,20316,54030400,high,Statute of Frauds,"When the plaintiff was accepted to law school, her mother was so proud of the plaintiff that she said, “If you successfully complete your first year, I'll buy all your books for th","Under the Statute of Frauds, a promise that by its terms cannot be performed within a year must be in writing. Since the mother's promise to buy books for a two-year period could not be performed within a year, it violated the Statute of Frauds. Even if the offer made by the mother was divisible, the plaintiff's succes"
88,20916,54030400,reviewed,UCC Statute of Frauds memorandum,"On May 15, a music store telephoned a guitar factory and ordered 50 guitars at a price of $200 per guitar. On May 16, the music store sent a signed letter marked “Confirmation” tha","Under UCC §2-201(1), a contract can be enforced against a party if that party has sent the other party a memorandum. To be enforceable, the memorandum has to be a “writing sufficient to indicate that a contract for sale has been made between the parties and signed by the party against whom enforcement is sought . . . A"
89,19629,54030400,high,Statute of Frauds,"A sporting goods store called a distributor and ordered 200 football jerseys at $50 a piece. Three days later, the distributor sent the store a signed letter marked “Confirmation.”","Under UCC §2-201(2), “between merchants if within a reasonable time a writing in confirmation of the contract and sufficient against the sender is received and the party receiving it has reason to know its contents, it satisfies the requirements [of the Statute of Frauds] against such party unless written notice of obj"
90,19812,56050200,reviewed,UCC modification not within Statute of Frauds,"In preparation for a big convention to be held on June 16, the convention committee ordered 500 bobblehead dolls from the company at a total price of $500, paying for them in advan","Under UCC §2-209(1), an agreement to modify a contract is enforceable even though unsupported by consideration. Since, as modified, the agreement does not fall within the provisions of the Statute of Frauds, it need not be in writing. Thus, if the committee agreed to accept 475 bobbleheads instead of 500, the company's"
91,17379,54030400,high,Statute of Frauds,"Important as a food commodity, pears are traded on the American Pear Exchange. Although farmers are free to negotiate prices for the sale of their pears, the price received by pear","Under UCC §2-209, a modification of a contract is valid even though unsupported by consideration. That same section provides, however, that the Statute of Frauds applies to a contract which, as modified, is within its provisions. Since the agreement made on April 15 between the buyer and the farmer called for the purch"
92,18327,56050200,reviewed,UCC modification no-consideration rule,"The defendant was a veterinarian who sometimes acquired exotic animals from local zoos. The plaintiff was the owner of a large livestock ranch.  On March 10, the defendant and the ","Under UCC §2-209, an agreement to modify a contract for the sale of goods needs no consideration to be binding. Since a contract for the sale of an aardvark is a contract for the sale of goods, the agreement that the defendant made to “throw in a pig” for the plaintiff's daughter is binding and may be enforced by the p"
93,20845,51060101,high,Expectation damages,"The buyer agreed to purchase steel beams from the seller by a written contract. The beams were delivered by truck and were in a closed box. Upon inspection, however, the buyer disc","Under UCC §2-313, a warranty is made by any description of the goods that is given by the seller and which is part of the basis of the bargain. The seller thus warranted that the beams delivered would be steel. Under UCC §2-714, a buyer who has accepted nonconforming goods and who notifies the seller of the nonconformi"
94,21023,55010101,reviewed,UCC warranty disclaimer/as-is rule,"After lengthy negotiations, the plaintiff purchased a car from the defendant, a car dealer. The plaintiff was driving it the following day when the brakes failed due to a defect th","Under UCC §2-314, an implied warranty of merchantability accompanies every sale by a merchant unless disclaimed by unequivocal language. UCC §2-316(3)(a) specifically provides that the phrase “as is” may be used to disclaim the warranty. B is incorrect because the implied warranty may accompany the sale of a used produ"
95,21028,56050300,reviewed,UCC cash-payment performance rule,"The buyer went to a car dealer to look at some of the cars on display. Selecting a car, he began negotiating with the dealer. The dealer offered to sell him the car that was on dis","Under UCC §2-511, a contract that is silent as to the manner of payment calls for payment in any manner current in the ordinary course of business. The seller is entitled to demand payment in cash, but if he or she does so, the buyer is entitled to a reasonable opportunity to procure the necessary cash. A is incorrect "
96,20370,56050402,reviewed,acceptance/rejection of nonconforming goods,"On January 3, a lumber retailer ordered from a lumber wholesaler 1,000 2” × 4” fir boards, each 8 feet in length, for delivery by January 15. When the wholesaler delivered the fir ","Under UCC §2-606, acceptance occurs when the buyer fails to make an effective rejection. Under §2-602, rejection must be made within a reasonable time after delivery and is ineffective unless the buyer seasonably notifies the seller. Since the retailer was aware of the nonconformity the day the boards were delivered bu"
97,17413,51060101,reviewed,buyer cover/market damages,"A parts dealer agreed to deliver a special bumper to a car collector's home for $150. After the contract was signed, the dealer called the collector and told him that he would not ","Upon breach of the sales contract, the non-breaching party is ordinarily entitled to compensatory, incidental, and consequential damages. A buyer's compensatory damages consist of the difference between the contract price and either the fair market value or the “cover” price (i.e., actual cost of replacement, so long a"
98,20125,55020205,high,Sufficiency of consideration,"A hiker was hiking in the woods when she heard a cry for help. She then saw a climber hanging from the edge of a cliff, clearly about to fall. The hiker ran to the cliff's edge and","Usually, a promise is unenforceable unless it is supported by consideration, which requires a bargained-for exchange. Since the climber's promise was made after the hiker rendered a service with no apparent expectation of compensation, the service was not given in exchange for the promise and the promise is not support"
99,20860,55020201,medium,Bargain and exchange,"After the plaintiff said that the defendant owed him $3,000, the defendant promised to pay $2,000, which the plaintiff agreed to accept as payment in full. Subsequently, the defend","Usually, a promise is unenforceable unless it is supported by consideration. Consideration is a bargained-for exchange of value given for a promise and may consist of benefit to the promisor or detriment to the promisee. If an alleged debt is invalid, a person who promises to pay a sum in settlement of it receives no b"
100,17260,51060302,high,Rescission,"A landowner wanted to open a miniature golf course on a parcel of real estate that he owned. After negotiation, the landowner hired a builder to build the golf course and a watersl","When a builder commits an anticipatory repudiation of a building contract, the person who hired him or her may be entitled to rescind and be free of all obligations under the contract. A is incorrect, however, because the builder is then entitled to an offset based on quasi-contract (i.e., the reasonable value of his o"
101,17649,56050102,high,Conditions,The seller was the owner of a lot and building that contained two residential apartments. The seller resided in the upstairs apartment and rented the downstairs apartment to a tena,"When a contract calls for performance by one party prior to performance by the other, the first party's performance is generally held to be a condition precedent to the other party's performance. A condition precedent is an event without which a party's obligation does not become absolute. Since the contract provided t"
102,19397,56050603,reviewed,frustration from change in law,"On February 1, the landlord and the tenant entered into a written contract. By its terms, the landlord was to rent the tenant a building for use by the tenant as a “sports book,” w","When an unforeseeable change in circumstances makes a contract fail of its essential purpose, the parties to it may be excused from performance under the doctrine of frustration of purpose. The essential purpose of the contract between the landlord and the tenant was the operation of a “sports book.” Since an unforesee"
103,19029,56050400,reviewed,breach excuses further performance and supports damages,"A landowner wanted to open an amusement park on a parcel of real estate that he owned. After negotiation, the landowner hired a contractor to build a roller coaster and several oth","When either party to a contract breaches it, the other party is excused from further performance. Since the landowner breached by refusing to make payment as required, the contractor may refuse to perform any further work. In addition, the non-breaching party is entitled to damages consisting of the losses that he or s"
104,20460,53070100,high,Third-Party Beneficiary Contracts,"The homeowner hired a painting contractor to paint the homeowner's residence, entering into a valid written contract with the contractor that fixed the price of the job at $5,000 a","When parties to a contract agree that one of the benefits of the contract will flow directly to a non-contracting party, that person is an intended third-party beneficiary. If the agreement was made for the purpose of satisfying an obligation that one of the contracting parties owed to the third-party beneficiary, he o"
105,21577,53070100,reviewed,intended beneficiary enforcement,"A woman, who was dying, wanted to leave her house to her niece. The woman's will left the house to her husband. Because the woman was unlikely to live long enough for a new will to","A beneficiary may sue the promisor only if the beneficiary was an “intended” beneficiary. The test for an “intended” beneficiary is whether the circumstances show that the promisee intended to give the beneficiary the benefit of the promised performance. Here, the woman (the promisee) intended to give her niece the ben"
106,20587,51060101,high,Expectation damages,"On January 3, a retailer of lumber ordered from a lumber wholesaler 1,000 2” × 4” fir boards, each 8 feet in length, for delivery by January 15. When the wholesaler delivered the f","A buyer who rightfully rejects nonconforming goods is entitled to damages for non-delivery. Under UCC §2-713(1), these consist of the difference between the contract price and the market price at the time when the buyer learned of the breach. Since the retailer learned of the nonconformity on January 15, B is correct. "
107,17932,56050102,reviewed,constructive condition of performance,A homeowner asked a builder to build a new pool in his backyard while he was away on a three-week bus tour of Europe. The homeowner and the builder signed a contract for 10 percent,"A condition is an event that must occur before the performance of a contractual obligation is due. Because the builder could not build the pool until the homeowner identified where it should be built, the homeowner's failure to indicate the correct address could be seen as a failure of the condition. Until necessary co"
108,17069,56050102,reviewed,satisfaction condition precedent,"In an agreement made on April 15, the plaintiff agreed to design a coat of arms for the defendant and to fabricate a wooden door with the coat of arms carved into it for the front ","A condition precedent is an event that must occur before a party's obligation to perform under a contract becomes absolute. Since the agreement provided that the defendant would be under no obligation to pay unless he was satisfied with the product, satisfaction was a condition precedent to his obligation to accept and"
109,19092,56050102,reviewed,broker commission express conditions,"When the defendant's employers transferred him to the West Coast, they promised to pay all his relocation expenses, including any commission that he might have to pay for the sale ","A condition precedent to a contractual obligation is an event that must occur before a party will be under a duty to perform. Real estate brokerage contracts frequently make the broker's commission due upon producing a buyer who is “ready, willing, and able” to purchase on the agreed terms. In the contract by which the"
110,17764,54030200,high,Illegality,The plaintiff was a professional gambler who made his living by accepting illegal bets on horse races and other sporting events. Because he suspected that the police had discovered,"A contract for the lease of realty is not illegal even though the lessee might have an illegal activity in mind when he or she enters into the lease. Ordinarily, the courts will not aid either party to an illegal contract unless the party seeking relief was not equally guilty (i.e., in pari delicto) with the other part"
111,21182,55020100,reviewed,offer plus acceptance mutual assent,"A world-renowned artist's will left a collection of 30 of his paintings to his niece, an art dealer. The paintings inherited by the niece were untitled, but they were identified by","A contract is formed upon acceptance of an offer. An offer is a manifestation of present intent to be bound to specific terms. Since the niece's letter of August 1 clearly expressed her willingness to sell each of the paintings to the dealer for $2,000, it was an offer. An acceptance occurs when the offeree communicate"
112,17155,55020101,high,Offer,"The seller was an importer of arts and crafts products from Mediterranean countries, selling mainly to large department stores and import shops. To keep his sales force down to a m","A contract is formed upon acceptance of an offer. Since the buyer's order identified the subject of the transaction, specified the quantity, set forth price and terms, and called for shipment, it conferred upon the seller the power to create a contract by accepting and was, therefore, an offer. Under UCC §2-206(1)(b), "
113,19652,56050102,reviewed,condition precedent to duty,"For several years following his graduation from college, the plaintiff made no attempt to find employment. During this period, he was usually intoxicated, and spent most of his tim","A contract may make the happening of a particular event a condition precedent to the performance of a contractual duty. If so, the obligation to perform that duty does not become absolute until the condition precedent is fulfilled. Thus, if the plaintiff's remaining in law school was a condition precedent to his mother"
114,18090,51060303,reviewed,reformation for writing mismatch,"The seller and the buyer entered into a written contract for the sale of 200 electric power drills. Although they orally agreed on a price, they inadvertently failed to include it ","A court may reform a contract to reflect the intentions of the parties if, as a result of inadvertence, the writing does not actually reflect the intentions. In determining the intentions of the parties, the court may admit whatever evidence is relevant and material. B is incorrect because UCC §2-201 declares that a wr"
115,17975,53070100,reviewed,third-party beneficiary modification before vesting,"When his daughter was about to turn 21, a builder decided he wanted to give her some money so she could buy a new car. Consequently, the builder entered into a written contract wit","A donee third-party beneficiary of a contract may enforce it. The parties are free to modify that contract, however, any time prior to the donee beneficiary's detrimental reliance on it. Since the daughter did not learn of the contract until after it had been modified, she has no right to enforce the terms that existed"
116,21275,51060105,reviewed,liquidated damages clause,"The landowner was the owner of two adjoining parcels of unimproved realty. Although she was interested in improving and selling the realty, she did not have the necessary capital. ","A liquidated damages clause is a provision in a contract fixing the amount of damages should a breach occur. Courts enforce liquidated damages clauses so long as the amount set is reasonable, the actual damages are difficult to ascertain, and the contract tailors the liquidated damages to the circumstances. If any of t"
117,18201,51060105,high,Liquidated damages,"Because the buyer was arranging to move his family across the country on April 20, the buyer insisted that the contract for his new home contain a liquidated damages clause. The cl","A liquidated damages clause is enforceable (and does not constitute a penalty) if the amount specified is reasonable in light of what the parties contemplated at the time the contract was formed, if the actual damages would be difficult to ascertain, and if the liquidated damages agreed to are tailored to the circumsta"
118,18684,54030100,high,Lack of Capacity,"The plaintiff, a minor, purchased a used car from the defendant for $1,200. The reasonable rental value of the car was $150 per month. After she had owned the car for two months, t","A minor may disaffirm a contract on the ground of incapacity. If, however, the disaffirming minor is the plaintiff in an action for restitution, his or her recovery will be offset by the reasonable value of the benefit that he or she had received. Measuring the benefit in terms of reasonable rental value is a common ju"
119,21525,54030100,reviewed,minor's capacity/disaffirmance,"The plaintiff, a minor who looked older than he was, wished to purchase a motorcycle. The plaintiff went to the defendant's motorcycle shop and looked at some of the models on disp","A minor may disaffirm his contract on the ground that he or she lacked capacity, but the party contracting with him or her may not. A and B are therefore incorrect. Detrimental reliance is sometimes given as a reason for enforcing a promise that was unsupported by consideration. C is incorrect because the defendant's p"
120,20585,53070100,high,Third-Party Beneficiary Contracts,"When the landowner's daughter told him that she was getting married, the landowner was so happy that he promised to deed her a parcel of realty that he owned and to have a house bu","A non-contracting party who will benefit from a contract between two other persons is a third-party beneficiary. If the contracting parties intended that the benefit flow to him or her when they contracted, he or she is an intended beneficiary. If they did not, he or she is an incidental beneficiary. Although an intend"
121,19788,55020101,high,Offer,"A man texted his friend, “I really want to sell my motorcycle. I would consider $2,000 for it.” His friend immediately texted back, “I accept! I'll give you a check immediately!” T","A party who wishes to make a contract may make statements that are not offers but rather solicitations of bids. These bids are the basis of preliminary negotiations and cannot be accepted. Here, the man saying “I would consider” shows his statement to be a mere solicitation of bids, and not a true offer. Consequently, "
122,21519,55020202,high,Illusory promises,"In anticipation of changing over to a more “upscale” restaurant, a restaurant entered into a written agreement with a new butcher. Under the agreement, the butcher would provide “a","A party's promise is illusory if that party's promise has not created a binding obligation. If each party has not agreed to a binding obligation, the agreement is not enforceable. Under the agreement, the butcher agreed to provide meat at $10 per pound, but the restaurant didn't actually promise to do anything. The res"
123,21505,53070200,high,Assignment of Rights,"The defendant owned a trucking company. His wife, the plaintiff, was a freelance book illustrator. When a book publisher contacted the defendant to discuss the transportation of hi","A promise is ordinarily not enforceable unless it is supported by consideration. Thus, a promise to make a gift is not usually enforceable. Once a gift has been completed, however, the donee's rights do not depend on the donor's promise. Thus, although a promise to make a gift may be unenforceable, a completed (or exec"
124,17448,55020300,reviewed,promissory estoppel despite SOF/consideration issues,"After seeing the small airplane that the pilot was flying go down in stormy seas, the pilot's wife stood on the shore screaming, “Oh, God, won't somebody please save my husband?” U","A promise that is unenforceable for lack of consideration or because it fails to satisfy the requirements of the Statute of Frauds may nevertheless be enforceable under the doctrine of promissory estoppel if the promisee justifiably relied upon it to his or her detriment. If, however, no express or implied promise was "
125,17638,55020201,medium,Bargain and exchange,"A man, who had been studying the writings of various mystical philosophers, decided to sell all his worldly possessions, give the money to charity, and wander about in the desert f",A promise to forbear or abandon a civil claim in return for some payment by the promisee is referred to as a compromise. The promise to forbear is sufficient consideration for the promisee's promise to pay if the claim could have been asserted in good faith. Although the facts do not indicate whether the plaintiff beli
126,21009,55020205,reviewed,past consideration,"The defendant's 20-year-old son became ill while traveling. The plaintiff, a youth hostel operator, let the son stay in one of the hostel's rooms and nursed the son back to health.","A promise to pay for services received in the past is usually held not to be supported by consideration. Here, since the plaintiff's services were not given at the defendant's request, the promise was unsupported by consideration and could not be enforced as a contract. Thus, A is incorrect. C is incorrect because the "
127,20556,56050403,reviewed,prospective inability/anticipatory nonperformance,"The defendant was the owner and operator of a summer resort located at a high elevation in the northern part of the country. Because the hotel was open only during the summer, the ","A prospective inability to perform occurs when a party to a contract has, by his or her own conduct, divested himself or herself of the ability to perform. A party who justifiably relies to its detriment on another party's prospective inability to perform is discharged from its obligations under the contract. Since the"
128,18453,53070200,high,Assignment of Rights,"The defendant's father earned his living as a crop-duster, using an airplane to dust farmers' fields with insecticides for a fee. When he died, he left the business to the defendan","A transfer of contract rights is called an assignment; a transfer of contract duties is called a delegation. In general, contract duties are delegable so long as delegation would not prevent the obligee from getting what he or she bargained for. Duties that involve personal services (i.e., that depend upon the obligor'"
129,20883,55010202,reviewed,unilateral contract,"A manufacturer of computer hardware and software was seeking a way to speed up the operation of its Basic Computer Program. On March 1, it posted the following notice in the employ","A unilateral contract is a promise to perform in exchange for a specified act by the promisee. Since the company promised to make payment to the employee who submitted the winning design, its offer was for a unilateral contract. A bilateral contract is an exchange of promises, each given in return for the other. Since "
130,19393,55020101,reviewed,unilateral reward offer and revocation,The homeowner went into his garage one morning and found that someone had broken in during the night and stolen a hand-carved milking stool that had been stored there. The stool di,"A unilateral contract is one in which only the offeror promises to perform, and only if the offeree performs a specified act. Since the homeowner's offer was to pay $1,000 to the person who “finds the thief,” he has made an offer for a unilateral contract. As with any offer, an offer for a unilateral contract does not "
131,21282,55020201,medium,Bargain and exchange,"The plaintiff, an unmarried woman, became pregnant. Before the child was born, she told the defendant that he was the father. The defendant agreed to pay the expenses of having the","All courts agree that a plaintiff's promise to waive a valid claim constitutes sufficient consideration for the defendant's promise to pay a settlement. Additionally, most modern courts would probably hold that the waiver of an invalid claim constitutes sufficient consideration for a settlement if the plaintiff, at the"
132,17022,53070100,high,Third-Party Beneficiary Contracts,"In exchange for use of his neighbor's boat, the homeowner hired a lawn service to maintain his lawn and his neighbor's lawn for the next two years. The homeowner and the lawn servi","Although a contract is not usually enforceable except by one in privity, a third-party beneficiary may enforce it if the parties to the contract intended that it should benefit him or her. This is true whether the intended third-party beneficiary is a creditor beneficiary or a donee beneficiary. A creditor beneficiary "
133,19279,52040100,high,Gap-Fillers,"The defendant was the owner and operator of a store that sold exotic birds and aviary supplies. The plaintiff was the owner and operator of a pet shop in which dogs, cats, tropical","Although a court may reform a contract by filling in a missing term in accordance with the manifest intent of the parties, it may not create a contract where the writing fails to indicate that the parties had the intent of creating one. The January 5 document leaves the price term to subsequent agreement after determin"
134,19799,53070200,high,Assignment of Rights,"A pawnbroker occasionally sold used jewelry to the buyer, who owned a jewelry store. On June 1, the pawnbroker sold the buyer a ring for $2,500, representing the stone in it to be ","Although an assignment does not imply a warranty that the obligor will perform, an assignment for consideration does imply a warranty that at the time of the assignment, the obligor has no defenses. Since at the time of the pawnbroker's assignment to the retailer, the buyer had a defense based on the nonconformity of t"
135,19416,53070200,high,Assignment of Rights,"A woman's father earned his living as a fumigator, using a fleet of trucks to fumigate office buildings with insecticides for a fee. When he died, he left the business to his daugh","Although an assignment of contract rights divests the assignor of those rights, a delegation of contract duties does not have the same effect, even when consented to by the obligee. For this reason, the woman will remain liable to the banker for any breach of their contract. On the other hand, a delegatee of contract d"
136,18468,55020101,high,Offer,"On September 10, the company, a well-known publisher of law books, posted a notice in the law school bookstore that it would award $10,000 to the student with the highest grade poi","Although an offer can ordinarily be withdrawn by the offeror at any time prior to its acceptance, the Restatement rule is that an offer for a unilateral contract cannot be withdrawn once the offeree has begun to perform. Thus, if the student began making extra efforts in an attempt to win the prize, the company was pre"
137,17347,55020205,high,Sufficiency of consideration,"A man, who had been studying the writings of various saints, decided to sell all his worldly possessions, give the money to charity, and hike for a while to seek insight and spirit","Although the administrator's forbearance might have been consideration for the husband's promise to pay, the question specifically asks whether the doctor's services are sufficient consideration. Consideration involves a bargained-for exchange, and since the husband did not ask the doctor for the services, they cannot "
138,17271,56050403,reviewed,prospective inability to perform,"An attorney decided to invest $4,000 in art for her office. On November 1, she decided to purchase a painting from the defendant, with delivery to be made to the attorney on Decemb","Although the attorney's refusal to accept the painting is excused by her reinvestment of the money in reliance on of the defendant's prospective inability to perform, her refusal of the defendant's tender discharges the defendant from further obligation to perform. B is incorrect since the defendant's obligation to del"
139,18636,51060101,reviewed,no damages where substitute performance same price,"A man and the plaintiff were neighbors in a recently created subdivision. Since both wanted to have landscaping work done, they decided to join forces in hopes of getting a better ","Although the defendant breached his contract with the plaintiff, he is not liable unless the breach resulted in damage. If there are equally competent gardeners in the area who will perform the same work at the same price, the plaintiff has sustained no damage as a result of the defendant's failure to perform. An incre"
140,19921,52040300,high,Parol Evidence Rule,"A building contractor's daughter was about to celebrate her 21st birthday, and the contractor wanted to give her a gift that would express his sentiments for her. He was a wealthy ","Although the parol evidence rule prevents the introduction of extrinsic evidence for the purpose of modifying the terms of certain written memorandums, it does not prevent the admission of such testimony for the purpose of establishing that no contract was ever formed. Since the oral agreement made before execution of "
141,20737,51060304,high,Specific performance,"On January 17, a storeowner agreed to sell a penguin-shaped ring to the plaintiff for $2,000. However, when the plaintiff came to pick up the ring on January 18, the storeowner ref","Although the usual remedy for breach of a sales contract is a judgment for damages, specific performance is available to a buyer if the subject of the contract was unique or highly unusual. This is nearly always true of contracts for the sale of realty, because every piece of realty is regarded as unique. Though not as"
142,17133,56050607,reviewed,accord and satisfaction,"The seller and the buyer entered into a written contract for the sale of 500 bicycles at a total price of $50,000. The contract required delivery by the seller prior to June 1 and ","An accord is a new obligation intended to take the place of an existing one. To be enforceable, it must be supported by consideration. To discharge the original obligation, it must actually be performed. Performance of the new obligation is known as “satisfaction,” and it is the satisfaction rather than the accord that"
143,18142,53070200,high,Assignment of Rights,"On May 20, on a form provided by an air-conditioning company, the defendant agreed to purchase from the company 100 described air-conditioning units at a price of $250 each, FOB th","An agreement for the sale of goods FOB a particular place requires the seller to load the goods on board a carrier at that place. Once the seller has done so, the buyer's obligation to pay the seller for the goods becomes complete. Under UCC §2-210, a seller who has completely performed may assign its rights even if te"
144,20399,56050403,reviewed,anticipatory breach/remedy before performance date,"Proud of a local painter's accomplishments, the town council voted to erect a statue commemorating the painter's victory over his social and economic disadvantages. Pursuant to tow","An anticipatory breach occurs when, before performance is required, a party to a contract says or does something that indicates that he or she will not perform as required. When an anticipatory breach occurs, the other party need not wait until the time for performance is passed but may immediately avail itself of reme"
145,20429,53070300,high,Delegation of Duties,"On April 1, a law firm hired a famous and uniquely skilled software specialist to design and install new computer software specifically for the firm. The new software was to be ins","An anticipatory repudiation is an unequivocal statement that he or she will not perform made by a party before performance is due under a contract. Upon a party's anticipatory repudiation, the other party has an immediate right to sue for breach of contract. In general, all duties under a contract are delegable except "
146,20052,56050403,high,Anticipatory repudiation,"In January, a farmer planted an orchard of apples that would be ready for harvest in June. The farmer entered into a written contract with a restaurant on March 2, wherein the farm",An anticipatory repudiation occurs when a promisor makes a positive statement to the promisee that he or she will not perform his or her contractual duties. An anticipatory repudiation by a promisor may be treated as an immediate breach by the promisee. One who repudiates before the time for performance may withdraw hi
147,20851,53070200,reviewed,assignment distinguished from third-party beneficiary,"Because he always wanted his nephew to live nearby, the landowner offered to leave his nephew half of his estate if he agreed to move back to the city. The nephew agreed. The nephe","An assignment is a transfer of a right to receive the benefits of a contract. If there was an enforceable agreement between the nephew and the landowner, the nephew's promise to share some of the rights that he received under that contract could be called an assignment. Although it is not certain that the nephew's conv"
148,20174,53070200,high,Assignment of Rights,"After the commercial success of a rock music group, its lead singer entered into a contract with the defendant. According to its terms, the singer, singing alone, was to record a s","An assignment is effective only if the assignor has given up all rights under the assigned contract. Thus, if the singer has made an effective assignment, he no longer has any rights against the defendant. A is incorrect for several reasons: First, since the contract was for the singer's business, the singer's infancy "
149,21516,53070200,reviewed,assignment extinguishes assignor rights,"When he won the state lottery, the defendant bought a new home and decided to have it landscaped by a well-known landscape architect. After investigating several sources, the defen","An assignment transfers the assignor's rights to the assignee and extinguishes those rights in the assignor. Thus, if the plaintiff has made a valid assignment of his rights to another person, the plaintiff no longer has those rights and cannot enforce them against the defendant. A non-contracting party who will benefi"
150,18337,53070200,high,Assignment of Rights,"At the age of 14, the plaintiff designed a program for a computer game. He demonstrated the program to the defendant, a company in the business of marketing computer software. The ","An assignment transfers the assignor's rights to the assignee, thus extinguishing the assignor's rights under the contract. Since the plaintiff has assigned his rights under the contract, he can no longer enforce them. A is incorrect for two reasons: First, lack of contractual capacity makes a contract voidable only at"
151,17254,53070200,high,Assignment of Rights,"When they decided to computerize their paperwork, a law firm contacted a specialist in the application of computer technology to the practice of law. After negotiations, the firm e","An effective assignment transfers all the assignor's rights to the assignee. If the specialist made an effective assignment of her rights under the contract with the firm, she can no longer enforce those rights, and the court must find against her. Since the contract called for payment of $5,000 within 30 days after in"
152,17931,unsure,reviewed,insurance-contingency agreement has no close Contract code,"When the homeowner purchased her home, she obtained a fire insurance policy. The policy provided that if the home was destroyed or seriously damaged by fire, the insurance company ",An insurance contract involves an agreement by the insurer to pay the insured upon the occurrence of an event not within the control of either. The payment agreed upon need not bear any relationship to damage that results from the event (although many policies require that there be such a relationship). Since the insur
153,17007,53070200,high,Assignment of Rights,"A banking firm hired a computer-banking specialist to update its computer network for $15,000. The specialist then went to work installing hardware and writing special software for","An obligor is discharged of liability to the obligee's assignee to the extent of any payments made to the original obligee prior to notice of the assignment. Thus, if the firm paid $15,000 to the specialist before being advised that the specialist had assigned her rights to the programmer, it could not be required to p"
154,18842,55020101,high,Offer,"When the seller inherited a valuable painting, he asked the buyer, an art dealer, if she was interested in buying it. On January 15, after looking at the painting, the buyer said t","An offer can ordinarily be accepted at any time prior to its termination. An offer terminates, however, when the offeree becomes aware that the offeror has acted in a manner inconsistent with the offer. When the buyer learned that the seller had sold the painting to someone else, the seller's offer terminated, deprivin"
155,20910,55020101,high,Offer,"On September 10, the company, a well-known publisher of law books, posted the following notice on the bulletin board at a law school:  As an incentive to research and scholastic ex","An offer for a unilateral contract involves an offer to exchange a promise for an act. Since the notice offered a prize to the student achieving the highest Grade Point Average and did not ask students to make any promise or agreement that they would do so, it was a promise offered in return for an act. B is therefore "
156,17431,55020101,reviewed,offer construed from reasonable recipient perspective,"The seller wanted to sell his piano. Because four buyers had all expressed interest in it, the seller wrote and signed the following letter on May 1, sending a photocopy to each of",An offer is a manifestation of present intent to be bound to specified terms. One of the tests of whether a statement should be construed as an offer is whether a reasonable person in the shoes of a person receiving it would believe that only his or her expression of assent is necessary to form a binding contract. Sinc
157,19667,55020101,high,Offer,"The seller wanted to sell his accordion. Because four buyers had all expressed interest in it, the seller wrote to all of them on May 1, telling them he was selling his accordion, ","An offer is a manifestation of present intent to be bound to specified terms. Since the seller's letter expresses an unequivocal intention to sell the accordion to the second buyer for $2,000, it is an offer. C is therefore incorrect. An acceptance is an agreement to be bound to the terms of an offer. The seller's lett"
158,19429,55020101,high,Offer,"The buyer was a collector of antiques who had purchased many expensive pieces from the seller, an antiques dealer. Knowing that the seller was traveling to Europe, the buyer wrote ",An offer is a manifestation of the offeror's willingness to enter into a contract on the terms specified. It is sometimes said that a communication is an offer if an acceptance is the only thing necessary to turn it into a binding contract. The language used by the seller — “Are you still interested?” — leaves some dou
159,21039,55020101,high,Offer,"The buyer received an advertising brochure from the seller in the mail. The brochure contained a photograph of a computer, and above it the statement, “While they last. All compute","An offer is a manifestation of willingness to be bound to specified terms that gives an offeree the power to create a contract by accepting. Since an advertisement rarely does this, it is usually regarded as a mere invitation for offers rather than as an offer unless the circumstances indicate that the party who publis"
160,20593,55020101,high,Offer,"On January 5, because he needed money to pay the rent on his store, the storeowner sent copies of the following letter to four possible buyers:  I need to sell my heart-shaped diam","An offer is an expression by the offeror of willingness to enter into a contract with the offeree on specified terms. A valid offer creates in the offeree the power of acceptance. To determine whether a particular communication qualifies as an offer, it is thus necessary to decide whether the reasonable person in the p"
