excelRow,status,qid,subject,topic,subtopic,selectedCode,selectedPath,confidence,source,score,margin,note
"966","CR-373","18385","Criminal Law","Sixth Amendment","Constitutional Protection of Accused Persons","73030900","Crimes against Property > Arson","high","phrase_rule","76","3","Matched from QBank metadata using explicit legal phrase rule."
"967","CR-369","21151","Criminal Law","Sixth Amendment","Constitutional Protection of Accused Persons","73030400","Crimes against Property > Robbery","high","phrase_rule","73","3","Matched from QBank metadata using explicit legal phrase rule."
"968","CR-357","20258","Criminal Law","Fifth Amendment","Constitutional Protection of Accused Persons","75080100","Fifth and Sixth Amendments—Statements, Confessions, and Identifications > Statements and Confessions","high","phrase_rule","55","2","Matched from QBank metadata using explicit legal phrase rule."
"969","CR-368","20227","Criminal Law","Sixth Amendment","Constitutional Protection of Accused Persons","75090400","Sixth Amendment—Other Rights of the Accused > Right to Counsel","high","phrase_rule","76","0","Matched from QBank metadata using explicit legal phrase rule."
"970","CR-372","20542","Criminal Law","Sixth Amendment","Constitutional Protection of Accused Persons","73030400","Crimes against Property > Robbery","high","phrase_rule","71","0","Matched from QBank metadata using explicit legal phrase rule."
"971","CR-385","17486","Criminal Law","Identification Procedures","Constitutional Protection of Accused Persons","73030400","Crimes against Property > Robbery","high","phrase_rule","51","3","Matched from QBank metadata using explicit legal phrase rule."
"972","CR-534","20168","Criminal Law","Sixth Amendment","Constitutional Protection of Accused Persons","73030400","Crimes against Property > Robbery","high","phrase_rule","67","0","Matched from QBank metadata using explicit legal phrase rule."
"973","CP-178","20788","Civil Procedure","Discovery","Consulting expert discovery","95070403","Pretrial Procedures > Discovery > Scope of discovery","high","phrase_rule","42","0","Matched from QBank metadata using explicit legal phrase rule."
"974","CL-446","18911","Constitutional Law","First Amendment - Freedom of Speech","Content-based restrictions","44040502","Individual Rights > First Amendment Protections > Freedom of speech and expression","high","phrase_rule","36","3","Matched from QBank metadata using explicit legal phrase rule."
"975","CL-184","17059","Constitutional Law","First Amendment — Freedom of Speech","Content-Based vs. Content-Neutral Restrictions","44040303","Individual Rights > Equal Protection Clause > Strict scrutiny (suspect) classifications","high","phrase_rule","41","8","Matched from QBank metadata using explicit legal phrase rule."
"976","CL-286","17535","Constitutional Law","First Amendment - Freedom of Speech","Content-Based vs. Content-Neutral Restrictions","44040303","Individual Rights > Equal Protection Clause > Strict scrutiny (suspect) classifications","high","phrase_rule","36","3","Matched from QBank metadata using explicit legal phrase rule."
"977","CL-156","17797","Constitutional Law","First Amendment — Freedom of Speech","Content-Based vs. Content-Neutral Restrictions","44040303","Individual Rights > Equal Protection Clause > Strict scrutiny (suspect) classifications","high","phrase_rule","36","3","Matched from QBank metadata using explicit legal phrase rule."
"978","CL-447","17964","Constitutional Law","First Amendment - Freedom of Speech","Content-neutral regulation","44040502","Individual Rights > First Amendment Protections > Freedom of speech and expression","high","phrase_rule","41","8","Matched from QBank metadata using explicit legal phrase rule."
"979","CP-120","17913","Civil Procedure","Erie Doctrine and Choice of Law","Contract Choice Clause in Diversity","96060100","State Law Applied in Federal Courts > Erie Doctrine","high","score","37","5","Matched from QBank metadata/status tokens with subject-filtered score."
"980","CP-261","17510","Civil Procedure","Personal Jurisdiction","Contract contacts and purposeful availment","94020000","Personal Jurisdiction","high","phrase_rule","52","5","Matched from QBank metadata using explicit legal phrase rule."
"981","CP-262","20650","Civil Procedure","Personal Jurisdiction","Contract contacts and unilateral forum connection","94020000","Personal Jurisdiction","high","phrase_rule","52","5","Matched from QBank metadata using explicit legal phrase rule."
"982","TR-416","20543","Torts","Negligence damages","Contract-only disappointed expectations","61020500","Negligence > Damages","high","phrase_rule","37","0","Matched from QBank metadata using explicit legal phrase rule."
"983","TR-161","19588","Torts","Multiple defendants","Contribution after joint liability payment","62060203","Other Considerations > Joint Tortfeasors > Contribution and indemnity","high","phrase_rule","28","0","Matched from QBank metadata using explicit legal phrase rule."
"984","TR-089","21508","Torts","Multiple tortfeasors","Contribution vs indemnity","62060203","Other Considerations > Joint Tortfeasors > Contribution and indemnity","high","phrase_rule","38","5","Matched from QBank metadata using explicit legal phrase rule."
"985","TR-192","18202","Torts","Intentional torts","Conversion","64010203","Intentional Torts > Intentional Torts to Property > Conversion","high","phrase_rule","64","14","Matched from QBank metadata using explicit legal phrase rule."
"986","TR-352","20420","Torts","Intentional torts","Conversion","61020500","Negligence > Damages","high","phrase_rule","64","14","Matched from QBank metadata using explicit legal phrase rule."
"987","TR-018","21448","Torts","Intentional torts","Conversion","61020500","Negligence > Damages","high","phrase_rule","64","14","Matched from QBank metadata using explicit legal phrase rule."
"988","TR-019","21838","Torts","Intentional torts","Conversion","61020500","Negligence > Damages","high","phrase_rule","64","9","Matched from QBank metadata using explicit legal phrase rule."
"989","CP-295","20455","Civil Procedure","Pleadings, Rule 12 Motions, and Amendments","Conversion to Summary Judgment","92080105","Motions > Pretrial Motions > Summary judgment motion","high","phrase_rule","51","2","Matched from QBank metadata using explicit legal phrase rule."
"990","CP-154","18429","Civil Procedure","Joinder","Counterclaims - compulsory counterclaim","95070103","Pretrial Procedures > Pleadings > Counterclaims","high","phrase_rule","40","0","Matched from QBank metadata using explicit legal phrase rule."
"991","CP-155","18985","Civil Procedure","Joinder","Counterclaims - permissive counterclaim","94010000","Federal Subject-Matter Jurisdiction","high","phrase_rule","40","0","Matched from QBank metadata using explicit legal phrase rule."
"992","CP-312","17179","Civil Procedure","Joinder","Counterclaims and crossclaims","95070103","Pretrial Procedures > Pleadings > Counterclaims","high","phrase_rule","40","0","Matched from QBank metadata using explicit legal phrase rule."
"993","CP-311","20269","Civil Procedure","Joinder","Crossclaims","95070103","Pretrial Procedures > Pleadings > Counterclaims","high","phrase_rule","42","2","Matched from QBank metadata using explicit legal phrase rule."
"994","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r2::DEF-SOF-001","18288","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"995","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r13::DEF-SOF-012","18973","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"996","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r17::Q16","19530","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"997","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r7::Q06","19821","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"998","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r6::DEF-SOF-005","20061","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"999","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r3::Q02","20078","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1000","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r3::Q02","20126","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1001","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r12::Q11","20311","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1002","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r7::Q06","20333","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1003","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r10::Q09","20721","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1004","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r10::DEF-SOF-009","20764","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1005","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r21::Q20","21133","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1006","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r13::Q12","21359","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1007","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r14::DEF-SOF-013","17029","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1008","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r9::Q08","17500","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1009","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r16::Q15","17553","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","13","Matched from QBank metadata using explicit legal phrase rule."
"1010","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r9::Q08","17609","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1011","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r16::DEF-SOF-015","17651","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1012","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r2::Q01","17744","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1013","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r3::Q02","17837","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1014","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r8::Q07","17885","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1015","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r9::Q08","17992","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1016","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r17::DEF-SOF-016","18492","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1017","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r20::Q19","18573","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1018","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r14::Q13","18746","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1019","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r19::Q18","19110","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1020","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r5::DEF-SOF-004","19366","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1021","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r14::Q13","19552","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1022","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r4::DEF-SOF-003","19556","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1023","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r6::Q05","19559","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1024","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r2::Q01","19648","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1025","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r11::Q10","19723","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1026","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r3::DEF-SOF-002","19947","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1027","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r5::Q04","20005","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1028","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r20::DEF-SOF-019","20159","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1029","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r16::Q15","20160","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1030","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r6::Q05","20293","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1031","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r8::Q07","20406","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1032","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r6::Q05","20474","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1033","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r11::DEF-SOF-010","20498","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1034","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r5::Q04","20514","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1035","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r7::Q06","20519","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1036","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r7::DEF-SOF-006","20536","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","61","18","Matched from QBank metadata using explicit legal phrase rule."
"1037","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r18::Q17","20661","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1038","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r19::DEF-SOF-018","20779","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1039","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r10::Q09","20844","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1040","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r4::Q03","20923","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1041","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r12::Q11","20935","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1042","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r9::DEF-SOF-008","20978","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1043","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r16::Q15","21054","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1044","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r19::Q18","21490","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1045","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r18::Q17","17115","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1046","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r2::Q01","17667","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1047","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r13::Q12","18062","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1048","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r15::Q14","18094","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1049","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r21::Q20","18256","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1050","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r17::Q16","20100","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1051","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r19::Q18","20642","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1052","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r21::DEF-SOF-020","21091","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","61","18","Matched from QBank metadata using explicit legal phrase rule."
"1053","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r21::Q20","21315","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1054","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r13::Q12","21442","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1055","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r8::Q07","17081","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1056","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r20::Q19","17129","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1057","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r15::Q14","17484","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1058","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r18::DEF-SOF-017","17742","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1059","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r11::Q10","18136","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1060","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r17::Q16","18494","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1061","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r18::Q17","18651","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1062","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r14::Q13","19467","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1063","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r4::Q03","19555","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1064","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r5::Q04","20093","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1065","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r11::Q10","20401","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1066","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r8::DEF-SOF-007","20523","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1067","contracts_defenses_questions_batch_005_D_statute_of_frauds_mixed_review::r15::Q14","20667","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1068","contracts_defenses_questions_batch_003_D_statute_of_frauds_ucc::r12::Q11","20805","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1069","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r15::DEF-SOF-014","20957","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1070","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r10::Q09","21225","Contracts","Statute of Frauds","D","55010101","Introductory Principles / Applicable Law > Sources of Law > Uniform Commercial Code (UCC)","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1071","contracts_defenses_questions_batch_001_D_statute_of_frauds_core::r12::DEF-SOF-011","21226","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1072","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r20::Q19","21503","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","18","Matched from QBank metadata using explicit legal phrase rule."
"1073","contracts_defenses_questions_batch_004_D_statute_of_frauds_hard_variants::r4::Q03","21584","Contracts","Statute of Frauds","D","54030400","Defenses to Formation or Enforcement > Statute of Frauds","high","phrase_rule","56","17","Matched from QBank metadata using explicit legal phrase rule."
"1074","presentation_questions_batch_013_D1_mode_order_witnesses::r2::Q01","18235","Evidence","Mode and order of witnesses","D1","31010401","Presentation of Evidence > Witnesses > Mode and order of witnesses","high","phrase_rule","49","12","Matched from QBank metadata using explicit legal phrase rule."
